"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","Настройка драйвера","SauceDemo suite","2026-06-10","broken","2026-06-10","tests.CartTest","smoke","tests.CartTest","setUp"
"","0","Настройка драйвера","SauceDemo suite","2026-06-10","broken","2026-06-10","tests.CompleteTest","smoke","tests.CompleteTest","setUp"
"","0","Настройка драйвера","SauceDemo suite","2026-06-10","broken","2026-06-10","tests.CheckoutTest","smoke","tests.CheckoutTest","setUp"
"","1","Настройка драйвера","SauceDemo suite","2026-06-10","broken","2026-06-10","tests.LoginTest","smoke","tests.LoginTest","setUp"
"","3","Проверка названия товара на странице Overview","SauceDemo suite","2026-06-10","skipped","2026-06-10","tests.OverviewTest","smoke","tests.OverviewTest","checkOverviewInfo"
"","1","Проверка полного оформления заказа","SauceDemo suite","2026-06-10","skipped","2026-06-10","tests.CompleteTest","smoke","tests.CompleteTest","checkSuccessOrder"
"","0","Настройка драйвера","SauceDemo suite","2026-06-10","broken","2026-06-10","tests.OverviewTest","smoke","tests.OverviewTest","setUp"
"Проверка логина с позитивными кредами","1","Проверка логина с позитивными кредами","SauceDemo suite","2026-06-10","skipped","2026-06-10","tests.LoginTest","smoke","tests.LoginTest","checkLoginWithPositiveCred"
"","1","Проверка checkout с позитивными данными","SauceDemo suite","2026-06-10","skipped","2026-06-10","tests.CheckoutTest","smoke","tests.CheckoutTest","checkCheckoutSuccess"
"Проверка корзины","16","Проверка добавления товара в корзину","SauceDemo suite","2026-06-10","skipped","2026-06-10","tests.CartTest","smoke","tests.CartTest","checkAddItemToCart"
